r1,r2,z,wire_radius
0.023,0.02275,-0.08,0.000125
0.023,0.02275,-0.07428877551020407,0.000125
0.023,0.02275,-0.07403877551020407,0.000125
0.023,0.02275,-0.07118877551020408,0.000125
0.023,0.02275,-0.07093877551020408,0.000125
0.023,0.02275,-0.07068877551020408,0.000125
0.023,0.02275,-0.06943973214285708,0.000125
0.023,0.02275,-0.06819051339285707,0.000125
0.023,0.02275,-0.06694129464285675,0.000125
0.023,0.02275,-0.05425286989795946,0.000125
0.023,0.02275,-0.050525845025510094,0.000125
0.023,0.02275,-0.04891242028061205,0.000125
0.023,0.02275,-0.047424920280612154,0.000125
0.023,0.02275,-0.04476898915816324,0.000125
0.023,0.02275,-0.03776462053571433,0.000125
0.023,0.02275,-0.0344188456632652,0.000125
0.023,0.02275,-0.030944945790816403,0.000125
0.023,0.02275,-0.02817417091836734,0.000125
0.023,0.02275,-0.024044802295918304,0.000125
0.023,0.02275,-0.021281839923469322,0.000125
0.023,0.02275,-0.0157188775510205,0.000125
0.023,0.02275,-0.012815290178571422,0.000125
0.023,0.02275,-0.008964046556122445,0.000125
0.023,0.02275,-0.005404528061224495,0.000125
0.023,0.02275,-0.0035810905612244934,0.000125
0.023,0.02275,0.0035810905612244934,0.000125
0.023,0.02275,0.005404528061224495,0.000125
0.023,0.02275,0.008964046556122445,0.000125
0.023,0.02275,0.012815290178571422,0.000125
0.023,0.02275,0.0157188775510205,0.000125
0.023,0.02275,0.021281839923469322,0.000125
0.023,0.02275,0.024044802295918304,0.000125
0.023,0.02275,0.02817417091836734,0.000125
0.023,0.02275,0.030944945790816403,0.000125
0.023,0.02275,0.0344188456632652,0.000125
0.023,0.02275,0.03776462053571433,0.000125
0.023,0.02275,0.04476898915816324,0.000125
0.023,0.02275,0.047424920280612154,0.000125
0.023,0.02275,0.04891242028061205,0.000125
0.023,0.02275,0.050525845025510094,0.000125
0.023,0.02275,0.05425286989795946,0.000125
0.023,0.02275,0.06694129464285675,0.000125
0.023,0.02275,0.06819051339285707,0.000125
0.023,0.02275,0.06943973214285708,0.000125
0.023,0.02275,0.07068877551020408,0.000125
0.023,0.02275,0.07093877551020408,0.000125
0.023,0.02275,0.07118877551020408,0.000125
0.023,0.02275,0.07403877551020407,0.000125
0.023,0.02275,0.07428877551020407,0.000125
0.023,0.02275,0.08,0.000125
